title,thumbnail,description,publishedAt,tags
Thousands of Palo Alto Networks Firewalls Compromised This Week After Critical Security Hole,https://a.fsdn.com/sd/topics/network_64.png,"Palo Alto Networks boasts 70,000 customers in 150 countries, including 85% of the Fortune 500. 

But this week ""thousands of Palo Alto Networks firewalls were compromised by attackers exploiting two recently patched security bug,"" reports the Register:


The …",2024-11-25T12:34:00Z,"['Prom', 'LTO Network']"
"My husband and I quit our jobs and moved to Finland. This is the perfect place to recover, but my burnout is still raging.",https://i.insider.com/67363b68192f52589858945e?width=1200&format=jpeg,Marija Riba and her husband quit their jobs and moved from London to Finland. She loves her new slower life but is still suffering from burnout.,2024-11-18T10:03:01Z,['Ondo']
This is one thing Marc Andreessen says you shouldn't do at work,https://i.insider.com/6744ac45fa0140cdd56536b4?width=1200&format=jpeg,"Marc Andreessen argues against sharing too many personal details at work. The famous VC says to ""leave your full self at home"" and act like a grownup.",2024-11-25T19:18:02Z,['ARC']
Marc Andreessen talks DOGE and Elon Musk: 'It's time to carve this government back in size and scope',https://i.insider.com/67472c3eede4eeae3929ee77?width=1200&format=jpeg,Marc Andreessen pointed to Elon Musk's text to Twitter's old CEO as an example of how federal workers could be held accountable for their time.,2024-11-27T17:45:22Z,"['Amp', 'CARV', 'ARC']"
Turkey roast and PB&J: Here's Diddy's jailhouse Thanksgiving menu,https://i.insider.com/6744be2a9f2901eb6036b2e1?width=1200&format=jpeg,"Hip-hop mogul Sean ""Diddy"" Combs has been locked up at at a Brooklyn jail since his September arrest on federal sex trafficking charges.",2024-11-28T10:04:01Z,['Kin']
Trump's Treasury Secretary: The best commentary about who the president-elect should nominate,https://i.insider.com/673b502ffa0140cdd563f6fa?width=1200&format=jpeg,"Scott Bessent, Howard Lutnick, Marc Rowan and Kevin Warsh are in the running for Treasury Secretary. Here is some of the best analysis of who Trump might pick.",2024-11-18T17:17:40Z,"['Mina', 'Secret', 'Dent', 'ARC']"
Big Time PvP mode announced for December release following early access,https://venturebeat.com/wp-content/uploads/2021/05/big-4.jpg?w=1024?w=1200&strip=all,"Big Time Studios is adding PvP gameplay to its NFT-based action-RPG title, Big Time, starting on December 2.",2024-11-27T21:31:38Z,"['Big Time', 'Mode']"
Pantera's Morehead Sees Bitcoin Soaring to $740K Amid Policy Shifts and Skeptic Sentiment,https://media.zenfs.com/en/us.finance.gurufocus/51250b22ee473ad261f1e16bd769d06b,"Dan Morehead predicts Bitcoin could hit $740,000, driven by policy shifts and Pantera's growing blockchain investments",2024-11-26T15:09:50Z,['Bitcoin']
'King Bob' from Palm Coast facing additional federal charges in 'phishing scheme',https://media.zenfs.com/en/daytona-beach-news-journal/dbe047b94e73883d4667768cd123b38a,Noah Michael Urban was already facing charges in federal court in Jacksonville. This week he was indicted by a federal grand jury in California.,2024-11-22T14:23:53Z,['Kin']
"XRP Tops $100B Market Cap, Reaches 2018 Levels, as Ripple’s RLUSD Close to Approval",https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png,"The surge brought 7-day gains to 30%, outperforming bitcoin (BTC) and other majors, while 30-day gains stand at nearly 300%, data from CoinGecko show.",2024-12-01T11:20:03Z,"['Bitcoin', 'XRP', 'Ark']"
"WATCH: UGA student scores $800,000 kick on ‘College Gameday’",https://i.abcnewsfe.com/a/d0dd690b-ebbd-4e29-9b4a-4f52854f35cb/241118_gma_potd_field_goal1_hpMain_16x9.jpg?w=992,"Henry Silver won $400,000 for hurricane relief and another $400,000 to split between him and another student when he made a 33-yard field goal during Pat McAfee’s Kicking Contest.",2024-11-18T14:26:01Z,"['Core', 'Dent', 'MAD', 'Kin']"
WATCH: 7-year-old with rare genetic condition rides bike for 1st time,https://i.abcnewsfe.com/a/c43fd11a-f91d-4580-a8c0-607751e1f4d2/241118_gma_digital_2_RaananAlbert_hpMain_9x16.jpg?w=992,Raanan Albert was diagnosed with a rare genetic condition called CLTC-related disorder and began learning to ride a bike during his physical therapy sessions.,2024-11-18T16:43:14Z,['DIA']
This crime shot up 400% — how to protect yourself,https://static.foxnews.com/foxnews.com/content/uploads/2023/04/1-WRITING-CHECK.jpg,"Old-fashioned check fraud is back in style, quintupling over the past year. Here are a few low-tech, practical means of protecting yourself.",2024-12-02T20:31:25Z,[]
