id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote
2394,Telcoin,TEL,telcoin,211,2018-01-14T00:00:00.000Z,"['medium-of-exchange', 'polygon-ecosystem']",100000000000.0,91649420413.97,100000000000.0,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x467bccd9d29f223bce8043b84e8c8b282827790f'}",210,55088740237.4,374043763.77004296,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 0.006789840576461447, 'volume_24h': 6194540.09293558, 'volume_change_24h': -42.8367, 'percent_change_1h': -0.03513426, 'percent_change_24h': -0.3642747, 'percent_change_7d': 43.8261967, 'percent_change_30d': 386.3374489, 'percent_change_60d': 325.29221639, 'percent_change_90d': 385.20704684, 'market_cap': 622284953.5359476, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 678984057.65, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
28081,SPX6900,SPX,spx6900,218,2023-09-20T17:36:23.000Z,['memes'],1000000000.0,930993090.07,930993090.07,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xe0f63a424a4439cbe457d80e4f4b51ad25b2c56c'}",211,930993090.07,595722375.5082303,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 0.6398784071141053, 'volume_24h': 26357778.49352824, 'volume_change_24h': 9.2198, 'percent_change_1h': 1.57031946, 'percent_change_24h': 10.61683576, 'percent_change_7d': 34.36075889, 'percent_change_30d': -15.31159866, 'percent_change_60d': 180.6663007, 'percent_change_90d': 7082.72516928, 'market_cap': 595722375.5082303, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 639878407.11, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
29169,Qubic,QUBIC,qubic,16,2024-01-25T10:29:06.000Z,"['ai-big-data', 'generative-ai', 'layer-1']",200000000000000.0,121568487584415.0,123036015966818.0,False,,212,121568487584415.0,577852017.1875348,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 4.75330431980808e-06, 'volume_24h': 18637980.55011696, 'volume_change_24h': -7.7639, 'percent_change_1h': 0.72297182, 'percent_change_24h': 6.12508862, 'percent_change_7d': 101.14927128, 'percent_change_30d': 216.89173273, 'percent_change_60d': 136.86419083, 'percent_change_90d': 217.08295454, 'market_cap': 577852017.1875348, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 950660863.96, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
25264,Snek,SNEK,snek,33,2023-05-14T20:05:46.000Z,"['memes', 'cardano-ecosystem']",76715880000.0,74340345994.0,75490345994.0,False,"{'id': 2010, 'name': 'Cardano', 'symbol': 'ADA', 'slug': 'cardano', 'token_address': '279c909f348e533da5808898f87f9a14bb2c3dfbbacccd631d927a3f534e454b'}",213,74340345994.0,572963496.4966991,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 0.007707301988383844, 'volume_24h': 12242510.61330143, 'volume_change_24h': -33.8486, 'percent_change_1h': 1.07807655, 'percent_change_24h': -2.27970501, 'percent_change_7d': 84.13299066, 'percent_change_30d': 690.83269387, 'percent_change_60d': 753.17501929, 'percent_change_90d': 903.46959884, 'market_cap': 572963496.4966991, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 591272454.46, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
34125,Just a chill guy,CHILLGUY,just-a-chill-guy,110,2024-11-20T20:41:25.000Z,"['memes', 'solana-ecosystem', 'pump-fun-ecosystem']",1000000000.0,999965329.78287,999965329.78287,False,"{'id': 5426, 'name': 'Solana', 'symbol': 'SOL', 'slug': 'solana', 'token_address': 'Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump'}",214,999968266.79,557082725.6071324,,2024-12-04T05:14:00.000Z,"{'USD': {'price': 0.5571004041912497, 'volume_24h': 185943647.15363702, 'volume_change_24h': -11.9965, 'percent_change_1h': 3.53301536, 'percent_change_24h': 27.88087217, 'percent_change_7d': -5.94983708, 'percent_change_30d': 41.85224479, 'percent_change_60d': 41.85224479, 'percent_change_90d': 41.85224479, 'market_cap': 557081089.3992733, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 557100404.19, 'tvl': None, 'last_updated': '2024-12-04T05:14:00.000Z'}}"
3987,Beldex,BDX,beldex,33,2019-06-07T00:00:00.000Z,"['privacy', 'masternodes', 'web3', 'dwf-labs-portfolio', 'depin']",,6911706596.049263,9929726596.049263,False,,215,,,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 0.07907047415039663, 'volume_24h': 9426510.59907157, 'volume_change_24h': -11.3437, 'percent_change_1h': 0.13950379, 'percent_change_24h': -1.26512831, 'percent_change_7d': 0.26669667, 'percent_change_30d': 0.90611707, 'percent_change_60d': 32.96791957, 'percent_change_90d': 47.16793518, 'market_cap': 546511917.7380391, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 785148190.13, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
29839,Meta Games Coin,MGC,meta-games-coin,20,2024-03-13T15:24:21.000Z,['binance-chain'],100000000000.0,1099999700.0,90999999700.0,False,"{'id': 1839, 'name': 'BNB Smart Chain (BEP20)', 'symbol': 'BNB', 'slug': 'bnb', 'token_address': '0xbb73BB2505AC4643d5C0a99c2A1F34B3DfD09D11'}",216,1099999700.0,540097262.6970121,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 0.490997645451187, 'volume_24h': 121846.60689072, 'volume_change_24h': 255.8529, 'percent_change_1h': 0.21512087, 'percent_change_24h': 14.29150915, 'percent_change_7d': 18.52480176, 'percent_change_30d': 74.10659099, 'percent_change_60d': 144.14154121, 'percent_change_90d': 168.66838759, 'market_cap': 540097262.6970121, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 49099764545.12, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
23054,Cheelee,CHEEL,cheelee,22,2023-02-13T15:17:51.000Z,[],,56799998.55280669,1000000000.0,False,"{'id': 1839, 'name': 'BNB Smart Chain (BEP20)', 'symbol': 'BNB', 'slug': 'bnb', 'token_address': '0x1F1C90aEb2fd13EA972F0a71e35c0753848e3DB0'}",217,19346282.66,182107491.204476,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 9.413048201812844, 'volume_24h': 6627684.13044772, 'volume_change_24h': 4.8511, 'percent_change_1h': -0.0985495, 'percent_change_24h': 0.06217597, 'percent_change_7d': -0.84679878, 'percent_change_30d': -14.42837047, 'percent_change_60d': -27.70434332, 'percent_change_90d': -49.90010065, 'market_cap': 534661124.24046916, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 9413048201.81, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
24835,PepeCoin,PEPECOIN,pepecoin,57,2023-05-01T08:13:44.000Z,"['memes', 'ethereum-ecosystem']",133769420.0,131266349.00699867,133769320.0,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xA9E8aCf069C58aEc8825542845Fd754e41a9489A'}",218,,,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 3.9842383448216845, 'volume_24h': 7127892.17525009, 'volume_change_24h': -11.5083, 'percent_change_1h': 0.21617881, 'percent_change_24h': 12.29209646, 'percent_change_7d': 12.82279615, 'percent_change_30d': 70.36516257, 'percent_change_60d': 30.27244207, 'percent_change_90d': 74.74275412, 'market_cap': 522996421.09843, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 532969252.53, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
8534,Chintai,CHEX,chex-token,46,2021-02-20T00:00:00.000Z,"['decentralized-exchange-dex-token', 'eos', 'real-world-assets']",,974902860.3157028,998852472.4242755,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x9Ce84F6A69986a83d92C324df10bC8E64771030f'}",219,969160775.5,519266545.13532215,,2024-12-04T05:15:00.000Z,"{'USD': {'price': 0.5357898898327031, 'volume_24h': 9038329.40242693, 'volume_change_24h': 4.5247, 'percent_change_1h': -0.60345946, 'percent_change_24h': 8.4137958, 'percent_change_7d': 80.55616035, 'percent_change_30d': 102.16648743, 'percent_change_60d': 219.56274824, 'percent_change_90d': 503.05909017, 'market_cap': 522343096.1261376, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 535175056.16, 'tvl': None, 'last_updated': '2024-12-04T05:15:00.000Z'}}"
