title,thumbnail,description,publishedAt,tags
The Worst People in the World Are Making a Ton of Money After Trump’s Victory,https://gizmodo.com/app/uploads/2024/11/TrumpStocks.jpg,"Private prisons, crypto, banks, and the stock-market in general are all soaring at the news of Trump’s return to the White House.",2024-11-06T15:15:36Z,[]
FBI Created a Crypto Token to Bait Pump-and-Dump Scammers,https://gizmodo.com/app/uploads/2024/10/nexfundai-crypto-fbi.jpg,The fraudsters allegedly used multiple trading bots for the wash trades.,2024-10-10T12:45:47Z,[]
Praxis: Another Tech-Billionaire Backed Urban Project Gets $525 Million in Funding,https://gizmodo.com/app/uploads/2024/10/Caribbean-island-of-Martinique.jpg,The weird new urban development plan seeks to remake human society.,2024-10-16T20:45:03Z,[]
"Ubisoft Finally Launches Its NFT Game, Hoping to Capitalize on the Crypto Grift",https://gizmodo.com/app/uploads/2024/10/Champions-Tactics-Screenshot-2.jpg,"NFTs for Ubisoft’s Champions Tactics: Grimoria Chronicles cost between $7 and close to $64,000.",2024-10-30T18:42:36Z,[]
Former FTX Executive Is Locked-In on LinkedIn and Federal Prison,https://gizmodo.com/app/uploads/2024/10/Salame.jpg,One of FTX's executives begins a seven year prison sentence with a humorous update to his LinkedIn profile.,2024-10-11T13:50:33Z,[]
$30 Million Is All It Took to Shift the Odds in Trump’s Favor on Polymarket,https://gizmodo.com/app/uploads/2024/10/Trump2.jpg,The huge buy is further proof that predictive betting sites are only a reflection of what degenerate gamblers are willing to spend.,2024-10-18T16:20:02Z,[]
Polymarket Is Looking Into Its Big Trump Bettors,https://gizmodo.com/app/uploads/2024/10/A-Polymarket-advertisement-in-Brooklyn.jpg,"Recent, weirdly large pro-Trump bets have caught the attention of the platform's executives.",2024-10-23T12:35:52Z,[]
Sam Altman’s Creepy Worldcoin Project Is Now Just Called ‘World’,https://gizmodo.com/app/uploads/2024/10/World-Projects-New-Eye-Scanning-Orb.jpg,Does this orb look friendlier to you?,2024-10-21T12:45:52Z,[]
Venmo Is Getting Some New Features,https://gizmodo.com/app/uploads/2024/10/GettyImages-2158346433.jpg,The company is feeling the competition from Zelle.,2024-10-09T17:30:38Z,[]
Bluesky Teases Creator Payments While New Sign-Ups Explode After Elon Musk’s Destruction of Twitter,https://gizmodo.com/app/uploads/2024/10/bluesky-stock-image.jpg,Bluesky has grown from 1 million to over 13 million users in just a year.,2024-10-24T19:35:05Z,[]
Peter Todd Is in Hiding After a Documentary Named Him as Bitcoin’s Creator,https://gizmodo.com/app/uploads/2024/10/PeterToddHBO.jpg,"To hear the software developer tell it, being outed as Satoshi has radically changed his life.",2024-10-22T15:45:38Z,['Bitcoin']
Polymarket Says the Four Whales Betting Big on Trump Are Actually Just One French Guy,https://gizmodo.com/app/uploads/2024/10/GettyImages-2179016623.jpg,Sacrebleu!,2024-10-24T16:55:38Z,[]
Hunt for Bitcoin's elusive creator Satoshi Nakamoto hits another dead-end,https://ichef.bbci.co.uk/news/1024/branded_news/61c8/live/d654d5a0-9834-11ef-b6b0-f17636916de7.png,Why are still no closer to unmasking the mysterious Satoshi Nakamoto?,2024-11-03T00:51:07Z,['Bitcoin']
"Trump flip-flopped on crypto, but his PAC has raked in millions of dollars of crypto donations since June",https://i.insider.com/670f5459a70318649282ad0f?width=1200&format=jpeg,The former president has positioned himself as the pro-crypto candidate this election cycle. But he hasn't always had nice things to say about crypto.,2024-10-16T09:44:31Z,[]
Bitcoin ETFs see highest daily outflows ever as traders brace for Election Day volatility,https://i.insider.com/672a331e5ec9bfa3d63bc054?width=1200&format=jpeg,Bitcoin ETFs saw record outflows ahead of the election as the market eyes the potential for uncertainty to spark volatility for the crypto.,2024-11-05T16:15:52Z,['Bitcoin']
"Trump Media, Tesla, and crypto stocks surge as Trump wins — and clean energy companies tumble",https://i.insider.com/672b42f688cea3ba1c1e9db3?width=1024&format=jpeg,"Shares of Trump's social media company, Elon Musk's Tesla, and both Coinbase and MicroStrategy jumped in anticipation of a second Trump term.",2024-11-06T11:28:46Z,[]
Stock market today: Indexes slide and yields rise as rate-cut outlook dims,https://i.insider.com/6717aa5d01ea6d83dee31691?width=1024&format=jpeg,US stocks added to Monday's losses as investors pared back rate cut expectations. Markets are gearing up for Tesla earnings on Wednesday.,2024-10-22T13:53:27Z,[]
